"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000118231",0,NA,NA,NA,NA,NA,"CRYGD"
"ENSG00000118242",90.4736516153227,-0.0932547047387789,0.307671839524128,-0.303097952945627,0.761815214135907,0.920733531107759,"MREG"
"ENSG00000118245",0,NA,NA,NA,NA,NA,"TNP1"
"ENSG00000118246",467.070827019176,0.058947380852124,0.104895701304887,0.561961835602674,0.574142021811392,0.820301951091975,"FASTKD2"
"ENSG00000118257",2023.01656206223,0.95450733845156,0.206513308972483,4.62201367650713,3.800329524794e-06,9.22371645080211e-05,"NRP2"
"ENSG00000118260",781.840466637753,-0.55333380813201,0.182239142479686,-3.03630603504233,0.00239496144474955,0.0214879686497228,"CREB1"
"ENSG00000118263",560.385026771236,0.258811385999655,0.183407947894296,1.4111241577645,0.158208007967495,0.419397341282285,"KLF7"
"ENSG00000118271",0,NA,NA,NA,NA,NA,"TTR"
"ENSG00000118276",54.5772219747793,-0.199564996561617,0.604085306125278,-0.330358965096612,0.741128743676196,0.912329905143135,"B4GALT6"
"ENSG00000118292",193.863701475378,-0.194993788748803,0.304940680398531,-0.639448264147515,0.522531359715665,0.784314910098488,"C1orf54"
"ENSG00000118298",11.6174785434399,0.383313100830219,0.525656497476874,0.729208337897665,0.465874231682312,0.746473258445685,"CA14"
"ENSG00000118307",10.5957072374264,0.205874572038156,0.614754032096589,0.334889339946304,0.737708563756735,0.910273420664162,"DNAI7"
"ENSG00000118308",1.59348384027296,-1.03514996928725,1.65167857044611,-0.626726039684379,0.530838831768998,NA,"IRAG2"
"ENSG00000118322",13.1265984660825,0.211158733588127,0.601426410232175,0.351096543144175,0.725515921250821,0.904431527479109,"ATP10B"
"ENSG00000118363",1205.29541004504,0.177866965988901,0.133468355104185,1.33265271644397,0.182645796820066,0.455486677562966,"SPCS2"
"ENSG00000118369",428.591408305547,-0.264165098160014,0.140116484184818,-1.88532491160406,0.0593859848191427,0.226150550687935,"USP35"
"ENSG00000118402",106.185699218546,-0.166457984438255,0.197524233478914,-0.842721834716166,0.39938403263108,0.697816240678093,"ELOVL4"
"ENSG00000118407",189.853473356778,-0.570356265968573,0.372348588282083,-1.53178039052073,0.125576636643318,0.364131373150116,"FILIP1"
"ENSG00000118412",403.001435438282,-0.0650014979508469,0.124241847447825,-0.523185217268636,0.600845367637085,0.838150786853058,"CASP8AP2"
"ENSG00000118418",573.344528724878,-0.305421297475503,0.185433614472201,-1.64706543818834,0.0995445961410435,0.315926845883509,"HMGN3"
"ENSG00000118420",46.8107398635341,-0.648228287492875,0.318366125236667,-2.03610948561501,0.0417393624499632,0.176872592138974,"UBE3D"
"ENSG00000118432",0.352774857992581,2.06291481406131,3.49593231062477,0.590090033434497,0.55513029031888,NA,"CNR1"
"ENSG00000118434",0,NA,NA,NA,NA,NA,"SPACA1"
"ENSG00000118454",805.049127726668,0.268558078508847,0.105905007656807,2.53583928135985,0.0112178204392665,0.0705980655307327,"ANKRD13C"
"ENSG00000118473",800.346295497355,-0.0494098944946552,0.444890439734903,-0.111060814262714,0.911568122139897,0.975805711747862,"SGIP1"
"ENSG00000118482",1843.63399066669,-0.124484176572925,0.120056943898076,-1.03687610671323,0.2997936005539,0.602922379086703,"PHF3"
"ENSG00000118491",0.244875598953481,0.17336571469788,3.5338115409304,0.0490591285612916,0.960872174846211,NA,"ZC2HC1B"
"ENSG00000118492",15.2128153494811,0.375204045448792,0.529755605582825,0.708258754593075,0.478784585461434,0.755365286766731,"ADGB"
"ENSG00000118495",1427.58280304483,-0.170222901470925,0.151343846469089,-1.12474279888012,0.260698039863249,0.558928625952563,"PLAGL1"
"ENSG00000118496",907.790847014178,0.203110601741342,0.171744585744031,1.1826317601887,0.236955119636134,0.528992524600419,"FBXO30"
"ENSG00000118503",354.648718608129,0.483430397735749,0.12559686038511,3.84906434964565,0.00011856985879414,0.0018305203990186,"TNFAIP3"
"ENSG00000118507",103.319466670868,0.756488295404459,0.193385614652521,3.9118126586806,9.16059623539901e-05,0.00148223536308887,"AKAP7"
"ENSG00000118508",704.488476816987,-0.338142111803832,0.180866637358354,-1.8695659782399,0.0615441134584797,0.231401588462928,"RAB32"
"ENSG00000118513",0.816607116574908,-0.841361484675726,2.28119540146552,-0.368824820589769,0.712258302820762,NA,"MYB"
"ENSG00000118514",8.74919277351606,-0.664311147663968,0.710195825578333,-0.935391512788743,0.349586569203244,NA,"ALDH8A1"
"ENSG00000118515",2784.07575593245,0.516962568924905,0.186090307689959,2.77801985144872,0.00546912767951658,0.0407089064669726,"SGK1"
"ENSG00000118518",1076.73838744903,-0.00656154745200373,0.172567630859739,-0.0380230488146232,0.969669305017236,0.992206041786774,"RNF146"
"ENSG00000118520",0.367341924600803,2.10448980878486,3.49377277856627,0.602354515352448,0.546938179926894,NA,"ARG1"
"ENSG00000118523",12096.381754345,1.37736320966705,0.600770826828254,2.29265994312471,0.0218675904022526,0.112839746726445,"CCN2"
"ENSG00000118526",7656.28464222193,0.521063414981306,0.227575061906809,2.28963319010182,0.0220425893023718,0.113510715737647,"TCF21"
"ENSG00000118557",7.55289469278857,0.382006109338138,0.699264756416468,0.546296815094486,0.584861925177292,NA,"PMFBP1"
"ENSG00000118564",961.016662202759,0.103799283748462,0.125098439402191,0.829740836452385,0.406685327624877,0.703495033391903,"FBXL5"
"ENSG00000118579",1386.23145399909,0.391192842476379,0.132084371935611,2.96168908360393,0.00305956567737402,0.0260467241055815,"MED28"
"ENSG00000118596",1280.34404557968,0.290500490048562,0.147296071358932,1.9722215763696,0.0485843176204911,0.196951148383923,"SLC16A7"
"ENSG00000118600",281.069897856257,0.0991892225546122,0.168138592588552,0.589925376604859,0.555240680102328,0.808103027114141,"RXYLT1"
